Source;Target;Type
1562;347;Directed
1562;346;Directed
1562;348;Directed
1562;1555;Directed
1562;1515;Directed
1562;1512;Directed
1562;337;Directed
1562;1051;Directed
1562;1587;Directed
1562;1606;Directed
1562;1509;Directed
1562;1054;Directed
1562;1508;Directed
1562;1056;Directed
1562;1501;Directed
1562;699;Directed
1562;1500;Directed
1562;1506;Directed
1562;1489;Directed
1562;1190;Directed
1562;669;Directed
1562;1218;Directed
1562;1367;Directed
1562;1386;Directed
1562;1382;Directed
1562;490;Directed
1562;1222;Directed
1562;8414;Directed
1562;1657;Directed
1562;535;Directed
1562;1229;Directed
1562;304;Directed
1562;580;Directed
1562;1066;Directed
1562;585;Directed
1562;1253;Directed
1562;4198;Directed
1562;599;Directed
1562;355;Directed
1562;1075;Directed
1562;1517;Directed
1562;1519;Directed
7447;502;Directed
7447;548;Directed
7447;523;Directed
7447;469;Directed
7447;293;Directed
7447;347;Directed
7447;346;Directed
7447;337;Directed
7447;478;Directed
7447;490;Directed
7447;534;Directed
7447;580;Directed
7447;629;Directed
7447;345;Directed
7447;340;Directed
7447;353;Directed
7447;342;Directed
607;548;Directed
607;644;Directed
607;687;Directed
607;609;Directed
607;1054;Directed
607;738;Directed
607;3998;Directed
607;1222;Directed
607;628;Directed
7798;2548;Directed
295;1157;Directed
295;5804;Directed
295;1382;Directed
295;1154;Directed
364;1562;Directed
364;699;Directed
364;668;Directed
364;3998;Directed
364;1222;Directed
364;2944;Directed
364;1636;Directed
364;1525;Directed
286;1386;Directed
286;4029;Directed
286;302;Directed
286;1335;Directed
286;1353;Directed
286;1354;Directed
1062;248;Directed
1062;1059;Directed
1062;5665;Directed
293;1418;Directed
293;287;Directed
293;7447;Directed
293;347;Directed
293;346;Directed
293;337;Directed
293;1386;Directed
293;1382;Directed
293;302;Directed
293;1335;Directed
293;1353;Directed
293;1665;Directed
293;629;Directed
293;345;Directed
293;1354;Directed
293;1435;Directed
293;340;Directed
293;1678;Directed
657;548;Directed
657;1212;Directed
657;665;Directed
657;1539;Directed
657;1553;Directed
657;609;Directed
657;337;Directed
657;1054;Directed
657;1056;Directed
657;674;Directed
657;680;Directed
657;668;Directed
657;669;Directed
657;1218;Directed
657;1367;Directed
657;478;Directed
657;3998;Directed
657;8414;Directed
657;675;Directed
657;3953;Directed
657;3956;Directed
657;1474;Directed
657;415;Directed
657;3959;Directed
657;535;Directed
657;1198;Directed
657;304;Directed
657;1230;Directed
657;636;Directed
657;666;Directed
657;4198;Directed
657;599;Directed
657;355;Directed
657;1626;Directed
657;1519;Directed
657;1525;Directed
1550;502;Directed
1550;346;Directed
1550;1555;Directed
1550;1512;Directed
1550;1561;Directed
1550;1509;Directed
1550;1056;Directed
1550;1501;Directed
1550;1190;Directed
1550;1382;Directed
1550;1742;Directed
1550;1657;Directed
1550;1735;Directed
1550;4029;Directed
1550;340;Directed
1550;1519;Directed
1550;1520;Directed
665;502;Directed
665;1212;Directed
665;664;Directed
665;657;Directed
665;644;Directed
665;5583;Directed
665;5581;Directed
665;634;Directed
665;662;Directed
665;609;Directed
665;652;Directed
665;337;Directed
665;5582;Directed
665;635;Directed
665;1054;Directed
665;1056;Directed
665;641;Directed
665;737;Directed
665;668;Directed
665;663;Directed
665;669;Directed
665;16;Directed
665;3953;Directed
665;415;Directed
665;1688;Directed
665;580;Directed
665;636;Directed
665;666;Directed
665;630;Directed
665;651;Directed
665;647;Directed
665;638;Directed
339;1051;Directed
339;1054;Directed
